time,q_0,q_1,q_2,q_3,q_4,q_5,v_0,v_1,v_2,v_3,v_4,v_5
0.0,0.0,0.5235987755982988,0.5235987755982988,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,4.3523931274900113e-07,0.5311217004162949,0.538899407625868,-0.00449678402599908,-0.00800315545152143,0.004489024382878312,2.1761965637450057e-05,0.3761462408998037,0.7650316013784592,-0.22483920129995397,-0.4001577725760715,0.22445121914391558
0.04,8.946226836101528e-06,0.5404590039236796,0.5544023225546795,-0.006724486878044516,-0.013010383588008441,0.007390745719264317,0.0004255493761676263,0.4668651753692353,0.7751457464405755,-0.11138514260227175,-0.2503614068243506,0.14508606681930025
0.06,1.8578396615674626e-05,0.5501001745408437,0.5675433522044537,-0.008757268374526176,-0.017388757221262603,0.010019230754109133,0.0004816084889786548,0.48205853085820144,0.6570514824887156,-0.10163907482408305,-0.21891868166270814,0.13142425174224084
0.08,3.0136947050763675e-05,0.5597037092710392,0.5781253767626666,-0.010545898546629347,-0.020903011159421593,0.012169162608173493,0.0005779275217544524,0.4801767365097745,0.5291012279106425,-0.08943150860515861,-0.17571269690794955,0.107496592703218
0.1,4.314853896228443e-05,0.5691885418779056,0.5865534681712163,-0.01218831094898907,-0.023824568726548652,0.013979910639374133,0.0006505795955760376,0.47424163034332123,0.4214045704274844,-0.08212062011798617,-0.14607787835635289,0.09053740156003202
0.12000000000000001,5.733011265919974e-05,0.5785112952343282,0.5932241867279273,-0.013699850079049515,-0.026253973394932278,0.015499549529100931,0.0007090786848457653,0.4661376678211311,0.3335359278355462,-0.07557695650302224,-0.12147023341918124,0.07598194448633992
0.14,7.236824039329988e-05,0.5876288603257388,0.5984603446737022,-0.015093578093229858,-0.028283213748869725,0.01677919065813861,0.0007519063867050069,0.45587825457052866,0.26180789728874754,-0.06968640070901716,-0.10146201769687233,0.06398205645188393
0.16,8.797908042479624e-05,0.5964993910458506,0.602521573783099,-0.016378860756381227,-0.029981243213033384,0.017857639146288382,0.0007805420015748177,0.44352653600558756,0.20306145546983986,-0.06426413315756846,-0.08490147320818303,0.05392242440748869
0.18,0.00010391068998136633,0.6050855615364502,0.6056209177774942,-0.017564015997115545,-0.031405255711790404,0.01876765923258943,0.0007965804778285043,0.4293085245299819,0.15496719971975736,-0.05925776203671588,-0.07120062493785113,0.04550100431505239
0.19999999999999998,0.00011994418643078303,0.6133559176618596,0.6079350445369314,-0.018656302501149455,-0.03260216029977214,0.019536453260050414,0.0008016748224708349,0.413517806270468,0.11570633797185864,-0.05461432520169557,-0.05984522939908686,0.03843970137304928
0.21999999999999997,0.00013589185478619817,0.6212851171859317,0.6096110107363732,-0.019662177662822758,-0.033610660952495666,0.020186814090258336,0.000797383417770757,0.39645997620360585,0.08379830997209586,-0.05029375808366515,-0.050425032636176204,0.03251804151039605
0.23999999999999996,0.00015159527777738568,0.6288537543219443,0.6107713407278786,-0.020587489051679096,-0.03446270550702893,0.02073784755906368,0.0007851711495593759,0.37843185680063374,0.05801649957527202,-0.04626556944281691,-0.04260222772666315,0.027551673440267183
0.25999999999999995,0.00016692348631572936,0.6360480081971424,0.6115181095230909,-0.021437621846423213,-0.03518471524909127,0.02120559012284021,0.0007664104269171845,0.3597126937598984,0.03733843976061202,-0.04250663973720597,-0.03610048710311691,0.023387128188826385
0.27999999999999997,0.00018177103477219996,0.642859191849685,0.6119362768166242,-0.022217593650309037,-0.03579856417840542,0.021603501809990128,0.0007423774228235296,0.340559182627134,0.020908364676666454,-0.0389985901942911,-0.03069244646570765,0.019895584357495943
0.3,0.00019605594056168918,0.6492832431723968,0.6120964262390429,-0.022932115278236333,-0.03632237057193089,0.021942873402627183,0.0007142452894744603,0.3212025661355937,0.008007471120935654,-0.03572608139636474,-0.026190319676273565,0.01696857963185284
0.32,0.00020971750177988487,0.6553201905018715,0.6120570328648688,-0.02358563019782581,-0.036771140770611895,0.022233165230089353,0.0006830780609097844,0.30184736647373395,-0.0019696687087068995,-0.03267574597947399,-0.0224385099340502,0.014514591373108489
0.34,0.00022271403385476133,0.6609736176754527,0.6118663559870806,-0.024182340717356313,-0.037157297945311384,0.022482292204079695,0.0006498266037438239,0.28267135867905957,-0.009533843889407416,-0.02983552597652511,-0.019307858734974346,0.012456348699517141
