time,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5
0.0,-0.6019512582937057,8.283054599116003,-22.297426907773666,-3.7809388725473427,-0.7060282744739586,0.005822965499844108
0.02,-0.32589352315816983,3.7996126835056447,-15.476237230606804,-2.7006635198425495,-0.16971973494214937,-0.005296481168155969
0.04,-0.1283573553629611,3.687481146956653,-6.012355251193066,-0.9897508915725273,-0.1329243518244282,-0.0013709212191696097
0.06,0.049093032529975655,0.5716466711766044,-2.8434054547299183,-0.3148188693033971,-0.000994372367126628,-0.0004452367611465428
0.08,0.3540521491349571,-3.976003113781981,-3.245756401841418,-0.30235607340091164,0.0008735005278098229,-0.00012441731710771111
0.1,0.5668384193942855,-7.807549093409283,-2.9497384093985985,-0.23774207614209342,-0.015430393910684514,-0.0003153546377027091
0.12000000000000001,0.7139219374009742,-10.749519438181803,-1.5954675260722837,0.004482563438005904,-0.010370350957522256,-0.0003304406244930944
0.14,0.8321689549790537,-13.329565021527138,-0.20295664428336124,0.26733774771456376,0.00631891283000835,-0.0001904280032926694
0.16,0.9255901371857785,-15.731609950759525,0.852575023463185,0.4744797142282835,0.019417709605450972,-5.109711018685091e-05
0.18,0.9876544692302154,-17.89141206068652,1.7116373980958368,0.6423153386545082,0.027833948394307473,3.9086632759401975e-05
0.19999999999999998,1.01992737396528,-19.771586211926127,2.4892615735704138,0.7916074586843517,0.03462563684730338,0.00010263076716925199
0.21999999999999997,1.0272499649741669,-21.394018318233854,3.1908135391117414,0.9254329155680443,0.040800531481931114,0.00015777176000027768
0.23999999999999996,1.0133409499407253,-22.78915663663984,3.804936128578212,1.0423316968762215,0.04610806819226034,0.00020603369240248864
0.25999999999999995,0.9812635928801319,-23.979632379059332,4.33588092845552,1.1429875374575227,0.05043440741377679,0.0002456722083941723
0.27999999999999997,0.9342220562396453,-24.98509884221574,4.79327022710218,1.2291866752390677,0.05389302610227786,0.0002771902647057817
0.3,0.8754497354367277,-25.825047400194954,5.185235803084624,1.3025623072068384,0.056612010364938264,0.00030201036830672075
0.32,0.8079765806189665,-26.518285993866055,5.518627901694169,1.364503742493861,0.058685542777914816,0.00032129530443827546
0.34,0.734554621835104,-27.082321196846067,5.799843402674985,1.416290208667684,0.060194465930646854,0.0003359313307794969
