time,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5
0.0,1.7416928332566308,-44.95166844456759,-19.75235609597046,-3.2630126012795384,-1.0678107239534866,0.0020901069189154923
0.02,-1.4146738794320897,-35.25747906015177,-10.429927189644454,-1.239697388792365,0.022390120776175637,-0.004626354425847363
0.04,-2.2534646832655736,-23.840546649035975,13.480675133520734,2.3526035621777024,0.05331617359393858,-0.001638109039125521
0.06,-0.6280570296408086,-20.259777638587508,14.976378236933979,2.9650540826974465,0.3604230786399067,0.0010632860949980687
0.08,0.12348609249360065,-21.490605771161036,5.826280795049909,1.627150950602295,0.2544216355368822,0.0021480643865689525
0.1,-0.24374193414022496,-21.028442883764143,2.1346304323487724,0.8787598345295227,0.11250468361517914,0.0007697020053763727
0.12000000000000001,-0.6002293194513304,-18.883057022500303,2.7523720778655303,0.876116271993124,0.08114017033732902,0.0001751834461539356
0.14,-0.6359400661738458,-16.933676828452587,2.9628994837971314,0.8999410566864905,0.08872175419227395,0.0003095446830670618
0.16,-0.5728070615185707,-15.546487915868646,2.2006854723221982,0.7736603600318358,0.07832884921154053,0.0003972432393929211
0.18,-0.529646070590646,-14.369408095638644,1.4382896993582373,0.6302418493429576,0.059016754802797874,0.00033432017381831427
0.19999999999999998,-0.49372738812913214,-13.2845958368987,0.9014637748629477,0.5218675268194399,0.04381388597276174,0.000262126277415405
0.21999999999999997,-0.4518975783791898,-12.324173627071662,0.45870071382840205,0.43358364162848195,0.03245331550988563,0.00021817185117957091
0.23999999999999996,-0.40834077735242136,-11.497251623041507,0.05837705468785526,0.35501959944056616,0.022722342952307215,0.00018381220982258617
0.25999999999999995,-0.36697957297790096,-10.789275160042092,-0.2947624889629523,0.2857844283259391,0.014237043068594494,0.00015223718551689172
0.27999999999999997,-0.3284806770530222,-10.186029493424897,-0.5998110314612797,0.2259952095924752,0.007036147572597131,0.00012444683306031459
0.3,-0.292545476680034,-9.676269775002254,-0.8619126055288691,0.17476377893535744,0.0010018239055258208,0.0001007498934759805
0.32,-0.25878596811314375,-9.249715240956402,-1.0861442522388676,0.13109465114766417,-0.004026506523755467,8.063864918452044e-05
0.34,-0.22682298582351518,-8.896730484848085,-1.2767250577425227,0.09413020583415543,-0.00818524976534427,6.363318071812233e-05
0.36000000000000004,-0.19633029422597664,-8.608486290757266,-1.4374428432801163,0.06310226874884095,-0.011591328853330755,4.935847480071198e-05
0.38000000000000006,-0.1670656441333912,-8.376979404476355,-1.5717642913214216,0.03730879358815575,-0.01434859505995257,3.7484326736181035e-05
0.4000000000000001,-0.13887116277451836,-8.194983053505158,-1.682834884216053,0.01611272218931914,-0.016549048024733323,2.7712464240883198e-05
